"species","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"species",28.828615817814,21.8978352359889,12.6308938038197,22.7440906860774,8.15711302398334,5.72047424606276,16.0565799699748,10.1405221777502,21.8847245116207,14.9168675657154,15.322810587691,8.71522390415224,6.63054067487116,20.3253165603949,12.5058725460051,2.22226711154013,18.9434471037716,22.0461482538741,0.425988368831614,14.9432255132272
"Acalyptophis peronii",12.1535162462462,11.4579395728348,12.1637771768606,11.9622676267999,16.091841193283,13.2456618763904,17.0661649360459,16.0469341362109,13.6130436014152,15.0849350400186,9.17386204800033,13.4405291291558,13.4363676907031,16.0085676686311,17.1176806894876,15.7395810738847,18.678062611103,12.6347947161442,14.4090949528091,12.9053793075091
"Aipysurus apraefrontalis",3.53714674536089,18.5980700841066,21.7543570625079,20.6797814781976,0.230499880861192,30.1136167287604,22.3543485706828,31.6912788735807,7.1684642837078,18.0262805843524,12.6772216090525,3.60217673422698,11.9170341013136,19.5829539578767,11.15644756493,7.16229928634928,13.0849052468525,28.7116641591509,3.07424667260983,12.1351019823287
"Aipysurus duboisii",4.77762692799612,20.407070684137,12.6989330706139,5.445946703498,9.1555450688251,6.9374684505054,18.2461681656893,8.75377104714896,6.53791414449785,7.04360190198554,3.7154102444411,1.05658179421378,0.172702057318165,14.4226433551164,13.8561992971304,8.01117286203067,13.9070198090946,14.4607053305045,9.11193332896545,15.8003106488771
"Aipysurus eydouxii",8.5413586088211,8.47837055710916,5.63980091801449,12.3660113262577,2.67979286277575,16.6773181761532,8.87524499693947,12.332776473382,9.19589366098114,30.0613743573838,11.658118430103,0.505560395621815,4.42618580845916,7.52946302246257,0.929219661910853,21.3909050887808,35.2132842122904,15.8887951749084,9.14258692355827,18.7610342570608
"Aipysurus foliosquama",11.4556987641196,9.92835578277819,13.0517578134423,8.42462992061856,9.84400122498878,11.8788632344055,10.5778543949398,9.63641155480616,12.7147577814552,10.0065441304779,9.087539141498,9.26542451822654,7.91774689961436,10.3015052284717,11.5947396426204,9.0287820889373,10.1597754059828,8.74932207688924,12.1311296123284,11.1135062515996
"Aipysurus fuscus",16.3349955325777,7.67285904637834,5.24826664298794,12.6414353191562,23.4240682896832,13.1868525280002,14.2984413813901,22.747042269425,4.44007978353964,7.1646113179051,8.23214695298593,17.927313294218,4.40857588089432,15.3015663140932,1.83319399889316,12.0893420100467,34.779679740288,14.5391424983792,10.3031353344339,12.3285857717386
"Aipysurus laevis",28.0684073044355,37.1176687554631,20.7984388092112,24.0628942636803,19.6736136045044,12.2784597992318,25.6474680357719,19.9538124040748,9.60883098434602,21.3799035706277,24.8561774077341,17.6520549912985,0.921908026349026,16.1226910903204,25.5793435529448,15.6797316651855,11.5275279501762,9.2745437694519,18.0998841036298,13.3990998674988
"Aipysurus tenuis",15.5454658679361,16.8082502385459,12.1391619711568,9.84213252245661,12.251455185325,11.0819033337287,10.5020776515169,19.589273995496,19.6025181579992,11.7780061892583,23.910357163634,9.61121169787594,17.5330888633985,20.0433776191112,12.4826566143487,19.0670645211974,11.0606052290709,14.7805586910269,14.5810957170281,14.2501640915634
"Astrotia stokesii",13.0801728830654,11.8752059021251,13.3262374739753,2.11780221118788,2.99026432640981,1.95844237723917,0.944362904267567,9.74720456730707,7.33634798951731,6.46570762430699,10.2363023313352,0.231914452941082,15.4666063219259,5.38190131517526,14.3027997699531,13.1855792929871,9.28137079764477,12.9532688794083,11.9594837235483,22.824913632867
