"species","lower","upper"
"Circus approximans",10.6088707790589,11.7534752993504
"Ducula bicolor",13.0605209865198,13.2717324945403
"Limosa limosa",9.26672939424759,10.3291062643079
"Macronectes halli",12.6500767513018,13.8740663403189
"Morus serrator",17.7403378541917,18.3438972416409
"Leptonychotes weddellii",5.84963039204715,6.36498642747423
"Corythoichthys intestinalis",6.84086345867279,7.03892753071206
"Egretta sacra",7.8169017232552,7.97005390409382
"Porzana tabuensis",10.2119376984189,10.7593136935368
"Filicampus tigris",13.0726503785754,13.5875943652479
"Lepidochelys olivacea",8.05889219314287,8.91573571365844
"Pagodroma nivea",11.3671715027627,11.5205736362757
"Aplonis metallica",6.74887770356839,7.62548328711424
"Aipysurus laevis",11.2699493677178,11.9046392726277
"Pelamis platurus",8.42170370285507,8.69870183044034
"Acalyptophis peronii",11.7493642044016,11.8921654537803
"Arctocephalus tropicalus",5.20927873315158,5.5609921619917
"Hippocampus abdominalis",13.77182604667,14.0005136942211
"Campichthys galei",7.89347021409418,8.91216378959695
"Monarcha melanopsis",9.02503247750272,9.97284551416784
"Eudyptes chrysocome",15.8896554605603,16.8213764045659
"Idiotropiscis larsonae",20.0327160348607,21.7952963227851
"Eudynamys scolopacea",8.74373809192151,10.0045354892911
"Lathamus discolor",11.6487793167558,12.6991883715546
"Micrognathus micronotopterus",18.7500518412683,19.5056337133501
"Pterodroma macroptera",19.3996424978303,20.1454001511192
"Hydrophis gracilis",7.251054227494,7.61363695354412
"Phalacrocorax purpurascens",10.9147785561074,11.2383331681867
"Puffinus creatopus",5.54410635106043,5.9696003109455
"Numenius arquata",10.9816786229996,12.1598727215505
"Hydrophis ornatus",10.7637266195084,10.9195074852434
"Cosmocampus howensis",10.4619072198772,10.6246474077723
"Calidris melanotos",19.3343636418183,20.4945228663939
"Vanacampus phillipi",8.22772715890025,9.30497554880222
"Halicampus spinirostris",12.6959149354438,13.3672214460004
