"species","lower","upper"
"Sterna paradisaea",12.6778156127927,13.2834441926278
"Dugong dugon",20.1090707520813,20.8432296016678
"Eudyptes chrysolophus",15.1206203764637,15.4908640040106
"Micrognathus micronotopterus",10.2044270086158,10.4733120220208
"Charadrius bicinctus",9.40278542007006,10.3482993488753
"Phaethon lepturus",7.00220981493852,7.18836526674194
"Chrysococcyx lucidus",10.9820138387073,12.4794220453237
"Fregetta grallaria",11.7493642044016,11.8921654537803
"Xenus cinereus",12.2028340938744,12.5194053630629
"Eretmochelys imbricata",5.20927873315158,5.5609921619917
"Thalassarche bulleri",6.74606178736,7.19758539678042
"Catharacta maccormicki",19.1218388440892,19.5972413921113
"Gallinago megala",8.40474625620102,8.89803308657793
"Todiramphus macleayii",13.5234884135527,14.2378310100702
"Diomedea epomophora",16.6978891751302,17.2188553993143
"Kimblaeus bassensis",13.2841660054907,13.6239940394682
"Papasula abbotti",22.8283436567486,24.1596656538356
"Falco cenchroides",10.4198650765645,11.1349393482715
"Cacomantis flabelliformis",7.15313546096216,8.03876674553492
"Puffinus pacificus",8.0247283829709,8.41021096289988
"Eudyptes pachyrhynchus",8.12309458849072,8.92952038593905
"Pachyptila turtur",15.4637477759518,15.8682330125837
"Charadrius mongolus",14.932168716769,15.146217305405
"Choeroichthys sculptus",9.03743368836801,9.41680810578983
"Vanacampus vercoi",7.14643972501864,7.49763414876447
"Hydrelaps darwiniensis",12.3729747971951,12.9000500030325
"Corythoichthys haematopterus",19.2475456192054,20.0616003777159
"Halobaena caerulea",7.88989168141704,8.6758340685106
"Puffinus gavia",11.7278644443867,13.0276957765824
"Tanysiptera sylvia",11.304687256515,12.6523840235926
"Vanacampus phillipi",21.0107476150199,22.0492796590099
"Thalassarche eremita",9.58277348847171,10.1361658325769
"Hydrophis belcheri",14.289013174441,15.2258051086847
"Chlidonias leucopterus",17.9301126283823,18.5356198092036
"Microphis brachyurus",14.8458239040411,15.0403269399019
