"species","lower","upper"
"Halicampus brocki",7.42135042091016,8.24775621909876
"Calidris canutus",6.39993248579566,7.47537495751091
"Stercorarius parasiticus",19.4415486561873,21.117213358754
"Sterna nereis",12.6778156127927,13.2834441926278
"Hippocampus bargibanti",7.63335676747604,7.89825633122675
"Thalassoica antarctica",9.26672939424759,10.3291062643079
"Coracina papuensis",19.1281259102937,19.2683577223337
"Haliichthys taeniophorus",10.2044270086158,10.4733120220208
"Hydrophis gracilis",6.30909989419848,6.90406597605472
"Pygoscelis adeliae",9.40278542007006,10.3482993488753
"Hippocampus breviceps",11.6678770879525,12.4602962346977
"Phalacrocorax fuscescens",10.094307626412,10.5523570631313
"Campichthys tryoni",8.55647405342225,8.65613375880176
"Limicola falcinellus",10.9463309268251,12.1399100482076
"Sterna hirundo",6.74887770356839,7.62548328711424
"Fregata minor",17.4191856608405,19.3466698231564
"Pterodroma mollis",11.368865802546,12.4094162896622
"Thalassarche chrysostoma",4.91725844928134,5.60005689142296
"Hydrelaps darwiniensis",8.97890334772204,9.2674366849399
"Eretmochelys imbricata",11.4861287182934,11.9646698570052
"Halicampus spinirostris",15.0874904775499,15.1561079424071
"Anous stolidus",14.5061953890766,15.6253892087462
"Festucalex gibbsi",16.0620316333379,16.8482850190082
"Hydrophis atriceps",12.0525164948831,12.6236811487366
"Laticauda colubrina",8.00111006834347,9.15785052918947
"Doryrhamphus janssi",14.3598083525829,15.622203990084
"Hippocampus trimaculatus",7.1333510680471,7.3079604100465
"Aipysurus foliosquama",9.54329664060491,9.92367757927064
"Corythoichthys schultzi",13.2209096667041,14.5029365452281
"Astrotia stokesii",11.602007225945,12.3813499866214
"Mitotichthys meraculus",5.43778908980758,6.25555151111248
"Choeroichthys sculptus",10.430554841645,11.7351004052646
"Diomedea amsterdamensis",9.64037755986293,10.3290289912977
"Aipysurus apraefrontalis",14.7743787284286,15.265953231382
"Chrysococcyx minutillus",6.34995903719129,6.8008692355164
